Model,Train & Test,Accuracy (micro),Precision (macro),Recall (macro),F1 (macro),Loss,Class_weights,Best_class,Median_class,Worst_class,num_classes_above_f1_macro_avg,num_classes_above_f1_macro_median,Time Taken (mins),Epoch
resnet18,Train,48.49895275773795,53.64883168130504,41.44591573097199,44.08784576973485,1.9161390697645875,None,Ephedra alata Decne.,Atriplex halimus L.,Deverra tortuosa (Desf.) DC.,16,16,16.494422765572867,1
resnet18,Train,64.0912264370491,66.19587380873826,60.96048795810378,62.88211521780821,1.2892687753895402,None,Ephedra alata Decne.,Salsola imbricata Forssk.,Deverra tortuosa (Desf.) DC.,15,16,18.055884365240733,2
resnet18,Train,67.0176867582034,68.33393033982959,64.81679341382491,66.2508930242877,1.155756711128919,None,Calotropis procera,Anabasis setifera Moq.,Deverra tortuosa (Desf.) DC.,14,16,19.64409246444702,3
resnet18,Train,68.47800791249709,69.86229500804137,66.8238785967192,68.06480844879647,1.084010799467342,None,Calotropis procera,Salsola imbricata Forssk.,Farsetia aegyptia Turra,13,16,17.14107913573583,4
resnet18,Train,69.11798929485688,70.08074746265518,67.78697642864748,68.80674681056037,1.0529620978690435,None,Calotropis procera,Anabasis articulata (Forssk.) Moq.,Farsetia aegyptia Turra,14,16,19.006907832622527,5
resnet18,Train,70.58994647428439,71.8316393850157,69.52124212422173,70.5357334614827,1.002661645578629,None,Calotropis procera,Zygophyllum arabicum (L.) Christenh. & Byng,Deverra tortuosa (Desf.) DC.,15,16,17.84929941892624,6
resnet18,Train,71.27647195717942,72.52480391952525,70.61152525719292,71.44652209212225,0.9839195145993428,None,Calotropis procera,Zygophyllum molle (Delile) Christenh. & Byng,Farsetia aegyptia Turra,15,16,18.07800939877828,7
resnet18,Train,71.25901791947871,72.36175263988832,70.40224177079143,71.2518628754154,0.9642119335640762,None,Calotropis procera,Zygophyllum arabicum (L.) Christenh. & Byng,Farsetia aegyptia Turra,15,16,17.86573000351588,8
resnet18,Train,71.32301605771468,72.36190594511216,70.52553945173578,71.35004307753438,0.9689085107975289,None,Calotropis procera,Zygophyllum arabicum (L.) Christenh. & Byng,Nitraria retusa (Forssk.) Asch.,14,16,18.200076178709665,9
resnet18,Train,71.6604607865953,72.44604052847463,70.99522521089736,71.63198403836006,0.9500571497089357,None,Rumex vesicarius L.,Capparis spinosa L.,Deverra tortuosa (Desf.) DC.,15,16,18.565058414141337,10
