accepted_scientific_name,POWO_images,GBIF_images,Pl@ntNet_images,total_external_images
Anabasis articulata (Forssk.) Moq.,8,204,102,314
Anabasis setifera Moq.,8,84,57,149
Atriplex halimus L.,1,70,29,100
Calotropis procera (Aiton) W.T.Aiton,7,179,24,210
Capparis spinosa L.,5,164,0,169
Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,9,86,17,112
"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",6,36,43,85
Deverra tortuosa (Desf.) DC.,3,62,0,65
Deverra triradiata Hochst. ex Boiss.,7,23,0,30
Diplotaxis harra (Forssk.) Boiss.,7,255,0,262
Echinops glaberrimus DC.,5,41,0,46
Ephedra alata Decne.,7,21,0,28
Farsetia aegyptia Turra,7,219,0,226
Gymnocarpos decander Forssk.,6,269,0,275
Haloxylon salicornicum (Moq.) Bunge ex Boiss.,7,155,0,162
Heliotropium arbainense Fresen.,9,100,0,109
Iphiona mucronata (Forssk.) Asch. & Schweinf.,8,16,0,24
Limonium pruinosum (L.) Chaz.,4,119,0,123
Lycium shawii Roem. & Schult.,7,243,0,250
Nitraria retusa (Forssk.) Asch.,4,197,44,245
Ochradenus baccatus Delile,10,499,0,509
Peganum harmala L.,6,202,0,208
Rumex vesicarius L.,10,111,85,206
Caroxylon imbricatum (Forssk.) Moq.,4,494,0,498
Stachys aegyptiaca Pers.,3,131,0,134
Suaeda aegyptiaca (Hasselq.) Zohary,8,99,81,188
Tamarix nilotica (Ehrenb.) Bunge,4,168,0,172
Trichodesma africanum (L.) Sm.,0,196,44,240
Zilla spinosa (L.) Prantl,2,437,80,519
Zygophyllum arabicum (L.) Christenh. & Byng,7,3,83,93
Zygophyllum coccineum L.,6,6,35,47
Zygophyllum molle (Delile) Christenh. & Byng,6,4,7,17
