class_index,model_class_name,accepted_scientific_name
0,Anabasis articulata (Forssk.) Moq.,Anabasis articulata (Forssk.) Moq.
1,Anabasis setifera Moq.,Anabasis setifera Moq.
2,Atriplex halimus L.,Atriplex halimus L.
3,Calotropis procera (Aiton) W.T.Aiton,Calotropis procera (Aiton) W.T.Aiton
4,Capparis spinosa L.,Capparis spinosa L.
5,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze
6,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler","Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler"
7,Deverra tortuosa (Desf.) DC.,Deverra tortuosa (Desf.) DC.
8,Deverra triradiata Hochst. ex Boiss.,Deverra triradiata Hochst. ex Boiss.
9,Diplotaxis harra (Forssk.) Boiss.,Diplotaxis harra (Forssk.) Boiss.
10,Echinops glaberrimus DC.,Echinops glaberrimus DC.
11,Ephedra alata Decne.,Ephedra alata Decne.
12,Farsetia aegyptia Turra,Farsetia aegyptia Turra
13,Gymnocarpos decander Forssk.,Gymnocarpos decander Forssk.
14,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,Haloxylon salicornicum (Moq.) Bunge ex Boiss.
15,Heliotropium arbainense Fresen.,Heliotropium arbainense Fresen.
16,Iphiona mucronata (Forssk.) Asch. & Schweinf.,Iphiona mucronata (Forssk.) Asch. & Schweinf.
17,Limonium pruinosum (L.) Chaz.,Limonium pruinosum (L.) Chaz.
18,Lycium shawii Roem. & Schult.,Lycium shawii Roem. & Schult.
19,Nitraria retusa (Forssk.) Asch.,Nitraria retusa (Forssk.) Asch.
20,Ochradenus baccatus Delile,Ochradenus baccatus Delile
21,Peganum harmala L.,Peganum harmala L.
22,Rumex vesicarius L.,Rumex vesicarius L.
23,Salsola imbricata Forssk.,Caroxylon imbricatum (Forssk.) Moq.
24,Stachys aegyptiaca Pers.,Stachys aegyptiaca Pers.
25,Suaeda aegyptiaca (Hasselq.) Zohary,Suaeda aegyptiaca (Hasselq.) Zohary
26,Tamarix nilotica (Ehrenb.) Bunge,Tamarix nilotica (Ehrenb.) Bunge
27,Trichodesma africanum (L.) Sm.,Trichodesma africanum (L.) Sm.
28,Zilla spinosa (L.) Prantl,Zilla spinosa (L.) Prantl
29,Zygophyllum arabicum (L.) Christenh. & Byng,Zygophyllum arabicum (L.) Christenh. & Byng
30,Zygophyllum coccineum L.,Zygophyllum coccineum L.
31,Zygophyllum molle (Delile) Christenh. & Byng,Zygophyllum molle (Delile) Christenh. & Byng
32,others,
