collection_date,n_species_photographed,n_images,visit_type,species_photographed,comments
22-12-2023,10,730,regular,Anabasis setifera Moq.; Atriplex halimus L.; Capparis spinosa L.; Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze; Deverra triradiata Hochst. ex Boiss.; Nitraria retusa (Forssk.) Asch.; Ochradenus baccatus Delile; Tamarix nilotica (Ehrenb.) Bunge; Zilla spinosa (L.) Prantl; Zygophyllum coccineum L.,
20-01-2024,17,4369,regular,"Anabasis setifera Moq.; Atriplex halimus L.; Calotropis procera (Aiton) W.T.Aiton; Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze; Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler; Echinops glaberrimus DC.; Haloxylon salicornicum (Moq.) Bunge ex Boiss.; Heliotropium arbainense Fresen.; Lycium shawii Roem. & Schult.; Nitraria retusa (Forssk.) Asch.; Ochradenus baccatus Delile; Stachys aegyptiaca Pers.; Tamarix nilotica (Ehrenb.) Bunge; Zilla spinosa (L.) Prantl; Zygophyllum arabicum (L.) Christenh. & Byng; Zygophyllum coccineum L.; Zygophyllum molle (Delile) Christenh. & Byng",
08-03-2024,13,3693,regular,Anabasis setifera Moq.; Atriplex halimus L.; Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze; Deverra triradiata Hochst. ex Boiss.; Diplotaxis harra (Forssk.) Boiss.; Echinops glaberrimus DC.; Ephedra alata Decne.; Heliotropium arbainense Fresen.; Lycium shawii Roem. & Schult.; Ochradenus baccatus Delile; Tamarix nilotica (Ehrenb.) Bunge; Zilla spinosa (L.) Prantl; Zygophyllum arabicum (L.) Christenh. & Byng,
20-04-2024,1,87,targeted,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",Targeted collection visit; not a complete routine field survey.
22-11-2024,21,454,regular,Anabasis articulata (Forssk.) Moq.; Anabasis setifera Moq.; Atriplex halimus L.; Capparis spinosa L.; Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze; Diplotaxis harra (Forssk.) Boiss.; Ephedra alata Decne.; Farsetia aegyptia Turra; Gymnocarpos decander Forssk.; Haloxylon salicornicum (Moq.) Bunge ex Boiss.; Limonium pruinosum (L.) Chaz.; Lycium shawii Roem. & Schult.; Nitraria retusa (Forssk.) Asch.; Ochradenus baccatus Delile; Salsola imbricata Forssk.; Stachys aegyptiaca Pers.; Tamarix nilotica (Ehrenb.) Bunge; Trichodesma africanum (L.) Sm.; Zilla spinosa (L.) Prantl; Zygophyllum arabicum (L.) Christenh. & Byng; Zygophyllum coccineum L.,
23-12-2024,17,1220,regular,Anabasis articulata (Forssk.) Moq.; Anabasis setifera Moq.; Atriplex halimus L.; Capparis spinosa L.; Deverra tortuosa (Desf.) DC.; Echinops glaberrimus DC.; Ephedra alata Decne.; Farsetia aegyptia Turra; Haloxylon salicornicum (Moq.) Bunge ex Boiss.; Heliotropium arbainense Fresen.; Iphiona mucronata (Forssk.) Asch. & Schweinf.; Limonium pruinosum (L.) Chaz.; Lycium shawii Roem. & Schult.; Ochradenus baccatus Delile; Tamarix nilotica (Ehrenb.) Bunge; Zilla spinosa (L.) Prantl; Zygophyllum coccineum L.,
04-01-2025,25,5347,regular,Anabasis articulata (Forssk.) Moq.; Anabasis setifera Moq.; Atriplex halimus L.; Calotropis procera (Aiton) W.T.Aiton; Capparis spinosa L.; Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze; Diplotaxis harra (Forssk.) Boiss.; Echinops glaberrimus DC.; Ephedra alata Decne.; Farsetia aegyptia Turra; Gymnocarpos decander Forssk.; Haloxylon salicornicum (Moq.) Bunge ex Boiss.; Limonium pruinosum (L.) Chaz.; Lycium shawii Roem. & Schult.; Nitraria retusa (Forssk.) Asch.; Ochradenus baccatus Delile; Peganum harmala L.; Salsola imbricata Forssk.; Stachys aegyptiaca Pers.; Suaeda aegyptiaca (Hasselq.) Zohary; Tamarix nilotica (Ehrenb.) Bunge; Trichodesma africanum (L.) Sm.; Zilla spinosa (L.) Prantl; Zygophyllum arabicum (L.) Christenh. & Byng; Zygophyllum coccineum L.,
31-01-2025,28,4663,regular,"Anabasis articulata (Forssk.) Moq.; Anabasis setifera Moq.; Atriplex halimus L.; Capparis spinosa L.; Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze; Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler; Diplotaxis harra (Forssk.) Boiss.; Echinops glaberrimus DC.; Ephedra alata Decne.; Farsetia aegyptia Turra; Gymnocarpos decander Forssk.; Haloxylon salicornicum (Moq.) Bunge ex Boiss.; Heliotropium arbainense Fresen.; Iphiona mucronata (Forssk.) Asch. & Schweinf.; Limonium pruinosum (L.) Chaz.; Lycium shawii Roem. & Schult.; Nitraria retusa (Forssk.) Asch.; Ochradenus baccatus Delile; Rumex vesicarius L.; Salsola imbricata Forssk.; Stachys aegyptiaca Pers.; Suaeda aegyptiaca (Hasselq.) Zohary; Tamarix nilotica (Ehrenb.) Bunge; Trichodesma africanum (L.) Sm.; Zilla spinosa (L.) Prantl; Zygophyllum arabicum (L.) Christenh. & Byng; Zygophyllum coccineum L.; Zygophyllum molle (Delile) Christenh. & Byng",
07-02-2025,2,200,targeted,Salsola imbricata Forssk.; Suaeda aegyptiaca (Hasselq.) Zohary,Targeted collection visit; not a complete routine field survey.
21-02-2025,10,1301,regular,Calotropis procera (Aiton) W.T.Aiton; Capparis spinosa L.; Deverra tortuosa (Desf.) DC.; Deverra triradiata Hochst. ex Boiss.; Echinops glaberrimus DC.; Ephedra alata Decne.; Gymnocarpos decander Forssk.; Limonium pruinosum (L.) Chaz.; Salsola imbricata Forssk.; Tamarix nilotica (Ehrenb.) Bunge,
