Family,Binomial Name,Synonym,Location
Amaranthaceae,Anabasis articulata (Forssk.) Moq.,,K5
Amaranthaceae,Anabasis setifera Moq.,,K4
Amaranthaceae,Atriplex halimus L.,,K3
Amaranthaceae,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,Hammada elegans (Bunge) Botsch.,K9
Amaranthaceae,Salsola imbricata Forssk.,,K12
Amaranthaceae,Suaeda aegyptiaca (Hasselq.) Zohary,,K5
Apiaceae,Deverra tortuosa (Desf.) DC.,,K6
Apocynaceae,Calotropis procera (Aiton) W.T.Aiton,,K7
Asteraceae,Echinops glaberrimus DC.,Echinops spinosus Bové ex DC.,K4
Asteraceae,Iphiona mucronata (Forssk.) Asch. & Schweinf.,,K5
Boraginaceae,Heliotropium arbainense Fresen.,,K1
Boraginaceae,Trichodesma africanum (L.) Sm.,,K11
Brassicaceae,Diplotaxis harra (Forssk.) Boiss.,,K8
Brassicaceae,Farsetia aegyptia Turra,,K8
Brassicaceae,Zilla spinosa (L.) Prantl,,K2
Capparaceae,Capparis spinosa L.,,K3
Caryophyllaceae,Gymnocarpos decander Forssk.,,K9
Ephedraceae,Ephedra alata Decne.,,K7
Lamiaceae,Stachys aegyptiaca Pers.,,K11
Menispermaceae,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,Cocculus pendulus (J.R.Forst. & G.Forst.) Diels,K7
Nitrariaceae,Nitraria retusa (Forssk.) Asch.,,K1
Plumbaginaceae,Limonium pruinosum (L.) Chaz.,,K6
Poaceae,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",Pennisetum divisum (J.F.Gmel.) Henrard,K10
Resedaceae,Ochradenus baccatus Delile,,K10
Solanaceae,Lycium shawii Roem. & Schult.,,K6
Tamaricaceae,Tamarix nilotica (Ehrenb.) Bunge,,K12
Zygophyllaceae,Zygophyllum arabicum (L.) Christenh. & Byng,,K12
Zygophyllaceae,Zygophyllum coccineum L.,,K11
Apiaceae,Deverra triradiata Hochst. ex Boiss.,,K5
Zygophyllaceae,Zygophyllum molle (Delile) Christenh. & Byng,,K8
Nitrariaceae,Peganum harmala L.,,K7
Polygonaceae,Rumex vesicarius L.,,K5
