Point,Lat_deg,Lat_min,Lat_sec,Lon_deg,Lon_min,Lon_sec
K12,29,56,20.744,31,25,24.07
K12,29,56,20.888,31,25,12.99
K11,29,56,19.785,31,25,6.3
K11,29,56,19.37,31,24,58.593
K10,29,56,34.99,31,24,41.406
K10,29,56,45.404,31,24,30.651
K9,29,56,45.182,31,24,14.86
K9,29,56,35.717,31,24,0.568
K8,29,56,47.743,31,23,50.398
K8,29,56,53.89,31,24,30.626
K7,29,56,55.852,31,23,12.888
K7,29,57,3.696,31,23,2.369
K6,29,57,26.054,31,22,42.233
K6,29,57,24.394,31,22,25.347
K5,29,57,21.327,31,22,18.089
K5,29,57,18.642,31,22,6.837
K4,29,57,7.954,31,21,48.769
K4,29,57,9.308,31,21,30.37
K3,29,57,10.07,31,21,22.262
K3,29,57,11.74,31,21,8.64
K2,29,57,7.816,31,20,36.342
K2,29,57,15.782,31,20,27.866
K1,29,57,20.838,31,20,17.715
K1,29,57,33.057,31,19,58.398
