class_index,binomial_name,number_of_images,n_collection_dates,synonym
0,Anabasis articulata (Forssk.) Moq.,375,4,
1,Anabasis setifera Moq.,1063,7,
2,Atriplex halimus L.,1238,7,
3,Calotropis procera (Aiton) W.T.Aiton,347,3,
4,Capparis spinosa L.,657,6,
5,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,488,6,Cocculus pendulus (J.R.Forst. & G.Forst.) Diels
6,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",292,3,Pennisetum divisum (J.F.Gmel.) Henrard
7,Deverra tortuosa (Desf.) DC.,195,2,
8,Deverra triradiata Hochst. ex Boiss.,186,3,
9,Diplotaxis harra (Forssk.) Boiss.,551,4,
10,Echinops glaberrimus DC.,938,6,Echinops spinosus Bové ex DC.
11,Ephedra alata Decne.,1064,6,
12,Farsetia aegyptia Turra,604,4,
13,Gymnocarpos decander Forssk.,700,4,
14,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,842,5,Hammada elegans (Bunge) Botsch.
15,Heliotropium arbainense Fresen.,880,4,
16,Iphiona mucronata (Forssk.) Asch. & Schweinf.,139,2,
17,Limonium pruinosum (L.) Chaz.,396,5,
18,Lycium shawii Roem. & Schult.,1353,6,
19,Nitraria retusa (Forssk.) Asch.,1018,5,
20,Ochradenus baccatus Delile,1894,7,
21,Peganum harmala L.,107,1,
22,Rumex vesicarius L.,425,1,
23,Salsola imbricata Forssk.,512,5,
24,Stachys aegyptiaca Pers.,491,4,
25,Suaeda aegyptiaca (Hasselq.) Zohary,536,3,
26,Tamarix nilotica (Ehrenb.) Bunge,1394,8,
27,Trichodesma africanum (L.) Sm.,490,3,
28,Zilla spinosa (L.) Prantl,572,7,
29,Zygophyllum arabicum (L.) Christenh. & Byng,1139,5,
30,Zygophyllum coccineum L.,862,6,
31,Zygophyllum molle (Delile) Christenh. & Byng,316,2,
