model_name,actual_class_index,predicted_class_index,actual_model_class_name,predicted_model_class_name,actual_reporting_name,predicted_reporting_name,images
mobilenet_127,0,0,Anabasis articulata (Forssk.) Moq.,Anabasis articulata (Forssk.) Moq.,Anabasis articulata (Forssk.) Moq.,Anabasis articulata (Forssk.) Moq.,46
mobilenet_127,0,1,Anabasis articulata (Forssk.) Moq.,Anabasis setifera Moq.,Anabasis articulata (Forssk.) Moq.,Anabasis setifera Moq.,24
mobilenet_127,0,2,Anabasis articulata (Forssk.) Moq.,Atriplex halimus L.,Anabasis articulata (Forssk.) Moq.,Atriplex halimus L.,0
mobilenet_127,0,3,Anabasis articulata (Forssk.) Moq.,Calotropis procera (Aiton) W.T.Aiton,Anabasis articulata (Forssk.) Moq.,Calotropis procera (Aiton) W.T.Aiton,2
mobilenet_127,0,4,Anabasis articulata (Forssk.) Moq.,Capparis spinosa L.,Anabasis articulata (Forssk.) Moq.,Capparis spinosa L.,0
mobilenet_127,0,5,Anabasis articulata (Forssk.) Moq.,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,Anabasis articulata (Forssk.) Moq.,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,0
mobilenet_127,0,6,Anabasis articulata (Forssk.) Moq.,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",Anabasis articulata (Forssk.) Moq.,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",0
mobilenet_127,0,7,Anabasis articulata (Forssk.) Moq.,Deverra tortuosa (Desf.) DC.,Anabasis articulata (Forssk.) Moq.,Deverra tortuosa (Desf.) DC.,0
mobilenet_127,0,8,Anabasis articulata (Forssk.) Moq.,Deverra triradiata Hochst. ex Boiss.,Anabasis articulata (Forssk.) Moq.,Deverra triradiata Hochst. ex Boiss.,0
mobilenet_127,0,9,Anabasis articulata (Forssk.) Moq.,Diplotaxis harra (Forssk.) Boiss.,Anabasis articulata (Forssk.) Moq.,Diplotaxis harra (Forssk.) Boiss.,0
mobilenet_127,0,10,Anabasis articulata (Forssk.) Moq.,Echinops glaberrimus DC.,Anabasis articulata (Forssk.) Moq.,Echinops glaberrimus DC.,1
mobilenet_127,0,11,Anabasis articulata (Forssk.) Moq.,Ephedra alata Decne.,Anabasis articulata (Forssk.) Moq.,Ephedra alata Decne.,0
mobilenet_127,0,12,Anabasis articulata (Forssk.) Moq.,Farsetia aegyptia Turra,Anabasis articulata (Forssk.) Moq.,Farsetia aegyptia Turra,3
mobilenet_127,0,13,Anabasis articulata (Forssk.) Moq.,Gymnocarpos decander Forssk.,Anabasis articulata (Forssk.) Moq.,Gymnocarpos decander Forssk.,3
mobilenet_127,0,14,Anabasis articulata (Forssk.) Moq.,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,Anabasis articulata (Forssk.) Moq.,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,10
mobilenet_127,0,15,Anabasis articulata (Forssk.) Moq.,Heliotropium arbainense Fresen.,Anabasis articulata (Forssk.) Moq.,Heliotropium arbainense Fresen.,1
mobilenet_127,0,16,Anabasis articulata (Forssk.) Moq.,Iphiona mucronata (Forssk.) Asch. & Schweinf.,Anabasis articulata (Forssk.) Moq.,Iphiona mucronata (Forssk.) Asch. & Schweinf.,2
mobilenet_127,0,17,Anabasis articulata (Forssk.) Moq.,Limonium pruinosum (L.) Chaz.,Anabasis articulata (Forssk.) Moq.,Limonium pruinosum (L.) Chaz.,2
mobilenet_127,0,18,Anabasis articulata (Forssk.) Moq.,Lycium shawii Roem. & Schult.,Anabasis articulata (Forssk.) Moq.,Lycium shawii Roem. & Schult.,0
mobilenet_127,0,19,Anabasis articulata (Forssk.) Moq.,Nitraria retusa (Forssk.) Asch.,Anabasis articulata (Forssk.) Moq.,Nitraria retusa (Forssk.) Asch.,3
mobilenet_127,0,20,Anabasis articulata (Forssk.) Moq.,Ochradenus baccatus Delile,Anabasis articulata (Forssk.) Moq.,Ochradenus baccatus Delile,12
mobilenet_127,0,21,Anabasis articulata (Forssk.) Moq.,Peganum harmala L.,Anabasis articulata (Forssk.) Moq.,Peganum harmala L.,1
mobilenet_127,0,22,Anabasis articulata (Forssk.) Moq.,Rumex vesicarius L.,Anabasis articulata (Forssk.) Moq.,Rumex vesicarius L.,2
mobilenet_127,0,23,Anabasis articulata (Forssk.) Moq.,Salsola imbricata Forssk.,Anabasis articulata (Forssk.) Moq.,Caroxylon imbricatum (Forssk.) Moq.,1
mobilenet_127,0,24,Anabasis articulata (Forssk.) Moq.,Stachys aegyptiaca Pers.,Anabasis articulata (Forssk.) Moq.,Stachys aegyptiaca Pers.,0
mobilenet_127,0,25,Anabasis articulata (Forssk.) Moq.,Suaeda aegyptiaca (Hasselq.) Zohary,Anabasis articulata (Forssk.) Moq.,Suaeda aegyptiaca (Hasselq.) Zohary,1
mobilenet_127,0,26,Anabasis articulata (Forssk.) Moq.,Tamarix nilotica (Ehrenb.) Bunge,Anabasis articulata (Forssk.) Moq.,Tamarix nilotica (Ehrenb.) Bunge,8
mobilenet_127,0,27,Anabasis articulata (Forssk.) Moq.,Trichodesma africanum (L.) Sm.,Anabasis articulata (Forssk.) Moq.,Trichodesma africanum (L.) Sm.,1
mobilenet_127,0,28,Anabasis articulata (Forssk.) Moq.,Zilla spinosa (L.) Prantl,Anabasis articulata (Forssk.) Moq.,Zilla spinosa (L.) Prantl,0
mobilenet_127,0,29,Anabasis articulata (Forssk.) Moq.,Zygophyllum arabicum (L.) Christenh. & Byng,Anabasis articulata (Forssk.) Moq.,Zygophyllum arabicum (L.) Christenh. & Byng,2
mobilenet_127,0,30,Anabasis articulata (Forssk.) Moq.,Zygophyllum coccineum L.,Anabasis articulata (Forssk.) Moq.,Zygophyllum coccineum L.,0
mobilenet_127,0,31,Anabasis articulata (Forssk.) Moq.,Zygophyllum molle (Delile) Christenh. & Byng,Anabasis articulata (Forssk.) Moq.,Zygophyllum molle (Delile) Christenh. & Byng,0
mobilenet_127,0,32,Anabasis articulata (Forssk.) Moq.,others,Anabasis articulata (Forssk.) Moq.,others,35
mobilenet_127,1,0,Anabasis setifera Moq.,Anabasis articulata (Forssk.) Moq.,Anabasis setifera Moq.,Anabasis articulata (Forssk.) Moq.,0
mobilenet_127,1,1,Anabasis setifera Moq.,Anabasis setifera Moq.,Anabasis setifera Moq.,Anabasis setifera Moq.,50
mobilenet_127,1,2,Anabasis setifera Moq.,Atriplex halimus L.,Anabasis setifera Moq.,Atriplex halimus L.,1
mobilenet_127,1,3,Anabasis setifera Moq.,Calotropis procera (Aiton) W.T.Aiton,Anabasis setifera Moq.,Calotropis procera (Aiton) W.T.Aiton,2
mobilenet_127,1,4,Anabasis setifera Moq.,Capparis spinosa L.,Anabasis setifera Moq.,Capparis spinosa L.,1
mobilenet_127,1,5,Anabasis setifera Moq.,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,Anabasis setifera Moq.,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,1
mobilenet_127,1,6,Anabasis setifera Moq.,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",Anabasis setifera Moq.,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",0
mobilenet_127,1,7,Anabasis setifera Moq.,Deverra tortuosa (Desf.) DC.,Anabasis setifera Moq.,Deverra tortuosa (Desf.) DC.,0
mobilenet_127,1,8,Anabasis setifera Moq.,Deverra triradiata Hochst. ex Boiss.,Anabasis setifera Moq.,Deverra triradiata Hochst. ex Boiss.,0
mobilenet_127,1,9,Anabasis setifera Moq.,Diplotaxis harra (Forssk.) Boiss.,Anabasis setifera Moq.,Diplotaxis harra (Forssk.) Boiss.,1
mobilenet_127,1,10,Anabasis setifera Moq.,Echinops glaberrimus DC.,Anabasis setifera Moq.,Echinops glaberrimus DC.,2
mobilenet_127,1,11,Anabasis setifera Moq.,Ephedra alata Decne.,Anabasis setifera Moq.,Ephedra alata Decne.,2
mobilenet_127,1,12,Anabasis setifera Moq.,Farsetia aegyptia Turra,Anabasis setifera Moq.,Farsetia aegyptia Turra,0
mobilenet_127,1,13,Anabasis setifera Moq.,Gymnocarpos decander Forssk.,Anabasis setifera Moq.,Gymnocarpos decander Forssk.,0
mobilenet_127,1,14,Anabasis setifera Moq.,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,Anabasis setifera Moq.,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,0
mobilenet_127,1,15,Anabasis setifera Moq.,Heliotropium arbainense Fresen.,Anabasis setifera Moq.,Heliotropium arbainense Fresen.,2
mobilenet_127,1,16,Anabasis setifera Moq.,Iphiona mucronata (Forssk.) Asch. & Schweinf.,Anabasis setifera Moq.,Iphiona mucronata (Forssk.) Asch. & Schweinf.,0
mobilenet_127,1,17,Anabasis setifera Moq.,Limonium pruinosum (L.) Chaz.,Anabasis setifera Moq.,Limonium pruinosum (L.) Chaz.,0
mobilenet_127,1,18,Anabasis setifera Moq.,Lycium shawii Roem. & Schult.,Anabasis setifera Moq.,Lycium shawii Roem. & Schult.,9
mobilenet_127,1,19,Anabasis setifera Moq.,Nitraria retusa (Forssk.) Asch.,Anabasis setifera Moq.,Nitraria retusa (Forssk.) Asch.,3
mobilenet_127,1,20,Anabasis setifera Moq.,Ochradenus baccatus Delile,Anabasis setifera Moq.,Ochradenus baccatus Delile,3
mobilenet_127,1,21,Anabasis setifera Moq.,Peganum harmala L.,Anabasis setifera Moq.,Peganum harmala L.,0
mobilenet_127,1,22,Anabasis setifera Moq.,Rumex vesicarius L.,Anabasis setifera Moq.,Rumex vesicarius L.,0
mobilenet_127,1,23,Anabasis setifera Moq.,Salsola imbricata Forssk.,Anabasis setifera Moq.,Caroxylon imbricatum (Forssk.) Moq.,0
mobilenet_127,1,24,Anabasis setifera Moq.,Stachys aegyptiaca Pers.,Anabasis setifera Moq.,Stachys aegyptiaca Pers.,0
mobilenet_127,1,25,Anabasis setifera Moq.,Suaeda aegyptiaca (Hasselq.) Zohary,Anabasis setifera Moq.,Suaeda aegyptiaca (Hasselq.) Zohary,5
mobilenet_127,1,26,Anabasis setifera Moq.,Tamarix nilotica (Ehrenb.) Bunge,Anabasis setifera Moq.,Tamarix nilotica (Ehrenb.) Bunge,0
mobilenet_127,1,27,Anabasis setifera Moq.,Trichodesma africanum (L.) Sm.,Anabasis setifera Moq.,Trichodesma africanum (L.) Sm.,0
mobilenet_127,1,28,Anabasis setifera Moq.,Zilla spinosa (L.) Prantl,Anabasis setifera Moq.,Zilla spinosa (L.) Prantl,1
mobilenet_127,1,29,Anabasis setifera Moq.,Zygophyllum arabicum (L.) Christenh. & Byng,Anabasis setifera Moq.,Zygophyllum arabicum (L.) Christenh. & Byng,0
mobilenet_127,1,30,Anabasis setifera Moq.,Zygophyllum coccineum L.,Anabasis setifera Moq.,Zygophyllum coccineum L.,4
mobilenet_127,1,31,Anabasis setifera Moq.,Zygophyllum molle (Delile) Christenh. & Byng,Anabasis setifera Moq.,Zygophyllum molle (Delile) Christenh. & Byng,0
mobilenet_127,1,32,Anabasis setifera Moq.,others,Anabasis setifera Moq.,others,6
mobilenet_127,2,0,Atriplex halimus L.,Anabasis articulata (Forssk.) Moq.,Atriplex halimus L.,Anabasis articulata (Forssk.) Moq.,0
mobilenet_127,2,1,Atriplex halimus L.,Anabasis setifera Moq.,Atriplex halimus L.,Anabasis setifera Moq.,0
mobilenet_127,2,2,Atriplex halimus L.,Atriplex halimus L.,Atriplex halimus L.,Atriplex halimus L.,47
mobilenet_127,2,3,Atriplex halimus L.,Calotropis procera (Aiton) W.T.Aiton,Atriplex halimus L.,Calotropis procera (Aiton) W.T.Aiton,1
mobilenet_127,2,4,Atriplex halimus L.,Capparis spinosa L.,Atriplex halimus L.,Capparis spinosa L.,5
mobilenet_127,2,5,Atriplex halimus L.,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,Atriplex halimus L.,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,0
mobilenet_127,2,6,Atriplex halimus L.,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",Atriplex halimus L.,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",0
mobilenet_127,2,7,Atriplex halimus L.,Deverra tortuosa (Desf.) DC.,Atriplex halimus L.,Deverra tortuosa (Desf.) DC.,0
mobilenet_127,2,8,Atriplex halimus L.,Deverra triradiata Hochst. ex Boiss.,Atriplex halimus L.,Deverra triradiata Hochst. ex Boiss.,0
mobilenet_127,2,9,Atriplex halimus L.,Diplotaxis harra (Forssk.) Boiss.,Atriplex halimus L.,Diplotaxis harra (Forssk.) Boiss.,0
mobilenet_127,2,10,Atriplex halimus L.,Echinops glaberrimus DC.,Atriplex halimus L.,Echinops glaberrimus DC.,0
mobilenet_127,2,11,Atriplex halimus L.,Ephedra alata Decne.,Atriplex halimus L.,Ephedra alata Decne.,0
mobilenet_127,2,12,Atriplex halimus L.,Farsetia aegyptia Turra,Atriplex halimus L.,Farsetia aegyptia Turra,0
mobilenet_127,2,13,Atriplex halimus L.,Gymnocarpos decander Forssk.,Atriplex halimus L.,Gymnocarpos decander Forssk.,0
mobilenet_127,2,14,Atriplex halimus L.,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,Atriplex halimus L.,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,0
mobilenet_127,2,15,Atriplex halimus L.,Heliotropium arbainense Fresen.,Atriplex halimus L.,Heliotropium arbainense Fresen.,0
mobilenet_127,2,16,Atriplex halimus L.,Iphiona mucronata (Forssk.) Asch. & Schweinf.,Atriplex halimus L.,Iphiona mucronata (Forssk.) Asch. & Schweinf.,0
mobilenet_127,2,17,Atriplex halimus L.,Limonium pruinosum (L.) Chaz.,Atriplex halimus L.,Limonium pruinosum (L.) Chaz.,0
mobilenet_127,2,18,Atriplex halimus L.,Lycium shawii Roem. & Schult.,Atriplex halimus L.,Lycium shawii Roem. & Schult.,7
mobilenet_127,2,19,Atriplex halimus L.,Nitraria retusa (Forssk.) Asch.,Atriplex halimus L.,Nitraria retusa (Forssk.) Asch.,0
mobilenet_127,2,20,Atriplex halimus L.,Ochradenus baccatus Delile,Atriplex halimus L.,Ochradenus baccatus Delile,1
mobilenet_127,2,21,Atriplex halimus L.,Peganum harmala L.,Atriplex halimus L.,Peganum harmala L.,0
mobilenet_127,2,22,Atriplex halimus L.,Rumex vesicarius L.,Atriplex halimus L.,Rumex vesicarius L.,1
mobilenet_127,2,23,Atriplex halimus L.,Salsola imbricata Forssk.,Atriplex halimus L.,Caroxylon imbricatum (Forssk.) Moq.,0
mobilenet_127,2,24,Atriplex halimus L.,Stachys aegyptiaca Pers.,Atriplex halimus L.,Stachys aegyptiaca Pers.,0
mobilenet_127,2,25,Atriplex halimus L.,Suaeda aegyptiaca (Hasselq.) Zohary,Atriplex halimus L.,Suaeda aegyptiaca (Hasselq.) Zohary,0
mobilenet_127,2,26,Atriplex halimus L.,Tamarix nilotica (Ehrenb.) Bunge,Atriplex halimus L.,Tamarix nilotica (Ehrenb.) Bunge,0
mobilenet_127,2,27,Atriplex halimus L.,Trichodesma africanum (L.) Sm.,Atriplex halimus L.,Trichodesma africanum (L.) Sm.,0
mobilenet_127,2,28,Atriplex halimus L.,Zilla spinosa (L.) Prantl,Atriplex halimus L.,Zilla spinosa (L.) Prantl,0
mobilenet_127,2,29,Atriplex halimus L.,Zygophyllum arabicum (L.) Christenh. & Byng,Atriplex halimus L.,Zygophyllum arabicum (L.) Christenh. & Byng,0
mobilenet_127,2,30,Atriplex halimus L.,Zygophyllum coccineum L.,Atriplex halimus L.,Zygophyllum coccineum L.,0
mobilenet_127,2,31,Atriplex halimus L.,Zygophyllum molle (Delile) Christenh. & Byng,Atriplex halimus L.,Zygophyllum molle (Delile) Christenh. & Byng,0
mobilenet_127,2,32,Atriplex halimus L.,others,Atriplex halimus L.,others,12
mobilenet_127,3,0,Calotropis procera (Aiton) W.T.Aiton,Anabasis articulata (Forssk.) Moq.,Calotropis procera (Aiton) W.T.Aiton,Anabasis articulata (Forssk.) Moq.,0
mobilenet_127,3,1,Calotropis procera (Aiton) W.T.Aiton,Anabasis setifera Moq.,Calotropis procera (Aiton) W.T.Aiton,Anabasis setifera Moq.,0
mobilenet_127,3,2,Calotropis procera (Aiton) W.T.Aiton,Atriplex halimus L.,Calotropis procera (Aiton) W.T.Aiton,Atriplex halimus L.,2
mobilenet_127,3,3,Calotropis procera (Aiton) W.T.Aiton,Calotropis procera (Aiton) W.T.Aiton,Calotropis procera (Aiton) W.T.Aiton,Calotropis procera (Aiton) W.T.Aiton,48
mobilenet_127,3,4,Calotropis procera (Aiton) W.T.Aiton,Capparis spinosa L.,Calotropis procera (Aiton) W.T.Aiton,Capparis spinosa L.,5
mobilenet_127,3,5,Calotropis procera (Aiton) W.T.Aiton,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,Calotropis procera (Aiton) W.T.Aiton,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,0
mobilenet_127,3,6,Calotropis procera (Aiton) W.T.Aiton,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",Calotropis procera (Aiton) W.T.Aiton,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",0
mobilenet_127,3,7,Calotropis procera (Aiton) W.T.Aiton,Deverra tortuosa (Desf.) DC.,Calotropis procera (Aiton) W.T.Aiton,Deverra tortuosa (Desf.) DC.,0
mobilenet_127,3,8,Calotropis procera (Aiton) W.T.Aiton,Deverra triradiata Hochst. ex Boiss.,Calotropis procera (Aiton) W.T.Aiton,Deverra triradiata Hochst. ex Boiss.,0
mobilenet_127,3,9,Calotropis procera (Aiton) W.T.Aiton,Diplotaxis harra (Forssk.) Boiss.,Calotropis procera (Aiton) W.T.Aiton,Diplotaxis harra (Forssk.) Boiss.,0
mobilenet_127,3,10,Calotropis procera (Aiton) W.T.Aiton,Echinops glaberrimus DC.,Calotropis procera (Aiton) W.T.Aiton,Echinops glaberrimus DC.,0
mobilenet_127,3,11,Calotropis procera (Aiton) W.T.Aiton,Ephedra alata Decne.,Calotropis procera (Aiton) W.T.Aiton,Ephedra alata Decne.,1
mobilenet_127,3,12,Calotropis procera (Aiton) W.T.Aiton,Farsetia aegyptia Turra,Calotropis procera (Aiton) W.T.Aiton,Farsetia aegyptia Turra,0
mobilenet_127,3,13,Calotropis procera (Aiton) W.T.Aiton,Gymnocarpos decander Forssk.,Calotropis procera (Aiton) W.T.Aiton,Gymnocarpos decander Forssk.,0
mobilenet_127,3,14,Calotropis procera (Aiton) W.T.Aiton,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,Calotropis procera (Aiton) W.T.Aiton,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,0
mobilenet_127,3,15,Calotropis procera (Aiton) W.T.Aiton,Heliotropium arbainense Fresen.,Calotropis procera (Aiton) W.T.Aiton,Heliotropium arbainense Fresen.,0
mobilenet_127,3,16,Calotropis procera (Aiton) W.T.Aiton,Iphiona mucronata (Forssk.) Asch. & Schweinf.,Calotropis procera (Aiton) W.T.Aiton,Iphiona mucronata (Forssk.) Asch. & Schweinf.,0
mobilenet_127,3,17,Calotropis procera (Aiton) W.T.Aiton,Limonium pruinosum (L.) Chaz.,Calotropis procera (Aiton) W.T.Aiton,Limonium pruinosum (L.) Chaz.,1
