evaluation_set,model_name,images,accuracy,macro_precision,macro_recall,macro_f1,macro_label_count,delta_accuracy_pp,delta_macro_precision_pp,delta_macro_recall_pp,delta_macro_f1_pp,comparison_role
Common,mobilenet_127,3414,0.4540128881077914,0.4784684702103857,0.3589775629480018,0.3761701152926976,32,0.0,0.0,0.0,0.0,Baseline
Common,top_30_215,3414,0.7302284710017575,0.651148664944238,0.6524265594264423,0.6404072069819757,32,27.62155828939661,17.268019473385227,29.344899647844052,26.42370916892781,Candidate
Common,top_30_220,3414,0.7308142940831869,0.6503438635259244,0.64814931138959,0.6391285976171578,32,27.68014059753955,17.187539331553875,28.917174844158815,26.29584823244602,Candidate
Common,top_30_199,3414,0.7214411247803163,0.6213575825000459,0.6278292355253148,0.6135628759002792,32,26.74282366725249,14.288911228966022,26.885167257731297,23.739276060758165,Candidate
Common,lowest_30_216,3414,0.6798476859988284,0.6064019654245805,0.6223449164345457,0.6060288783458347,32,22.5834797891037,12.793349521419477,26.33673534865439,22.985876305313713,Candidate
Common,lowest_30_220,3414,0.6798476859988284,0.5977618572148427,0.6145685358830562,0.5975371314006929,32,22.5834797891037,11.929338700445696,25.559097293505435,22.136701610799527,Candidate
Common,lowest_30_196,3414,0.669302870533099,0.5957524999519274,0.6075213485481847,0.5914489328571966,32,21.52899824253076,11.728402974154168,24.854378560018294,21.527881756449897,Candidate
Common,lowest_30_215,3414,0.666373755125952,0.5960951836266719,0.6059152714309559,0.590470128379913,32,21.23608670181606,11.762671341628621,24.69377084829541,21.430001308721536,Candidate
Top 30 % complementary,mobilenet_127,4616,0.33578856152513,0.4087044986640172,0.2752645140781372,0.2917976447307306,32,0.0,0.0,0.0,0.0,Baseline
Top 30 % complementary,top_30_215,4616,0.6070190641247833,0.5536961316711047,0.5353281254695119,0.5328002768699316,32,27.123050259965336,14.499163300708744,26.006361139137475,24.100263213920098,Candidate
Top 30 % complementary,top_30_220,4616,0.6035528596187175,0.5571922246986756,0.5273407608196843,0.531098097027787,32,26.776429809358753,14.848772603465838,25.20762467415471,23.930045229705637,Candidate
Top 30 % complementary,top_30_199,4616,0.595103986135182,0.5405552462754385,0.5155773685514305,0.512568652740084,32,25.931542461005204,13.185074761142129,24.03128544732934,22.07710080093534,Candidate
Bottom 30 % complementary,mobilenet_127,4613,0.3360069369174073,0.3822287011358801,0.2757191240230555,0.2837030245554678,32,0.0,0.0,0.0,0.0,Baseline
Bottom 30 % complementary,lowest_30_216,4613,0.6594407110340342,0.5974715297485893,0.5998420178430981,0.5917204364166107,32,32.34337741166269,21.524282861270922,32.41228938200426,30.801741186114285,Candidate
Bottom 30 % complementary,lowest_30_220,4613,0.6572729243442446,0.5887296286992223,0.5939682867089725,0.5846187150644191,32,32.126598742683726,20.65009275633422,31.824916268591704,30.091569050895128,Candidate
Bottom 30 % complementary,lowest_30_215,4613,0.6490353349230435,0.5909575775275836,0.5866933249664527,0.5805437676480684,32,31.302839800563625,20.87288763917035,31.097420094339718,29.684074309260055,Candidate
Bottom 30 % complementary,lowest_30_196,4613,0.6477346629091697,0.5859133197177322,0.5817172985844308,0.575535126314926,32,31.17277259917624,20.36846185818521,30.59981745613753,29.183210175945817,Candidate
