Class index,Accepted scientific name,Support (n),Baseline 127 — Recall (%),Top 30 % (Epoch 199) — Recall (%),Top 30 % (Epoch 215) — Recall (%),Top 30 % (Epoch 220) — Recall (%),Bottom 30 % (Epoch 196) — Recall (%),Bottom 30 % (Epoch 215) — Recall (%),Bottom 30 % (Epoch 216) — Recall (%),Bottom 30 % (Epoch 220) — Recall (%)
0,Anabasis articulata (Forssk.) Moq.,160,28.75000000,70.00000000,72.50000000,75.00000000,74.37500000,71.87500000,70.62500000,67.50000000
1,Anabasis setifera Moq.,93,53.76344086,64.51612903,65.59139785,65.59139785,41.93548387,38.70967742,41.93548387,36.55913978
2,Atriplex halimus L.,74,63.51351351,81.08108108,78.37837838,78.37837838,50.00000000,62.16216216,68.91891892,70.27027027
3,Calotropis procera (Aiton) W.T.Aiton,116,41.37931034,88.79310345,88.79310345,90.51724138,92.24137931,93.96551724,94.82758621,93.96551724
4,Capparis spinosa L.,99,41.41414141,82.82828283,86.86868687,81.81818182,70.70707071,72.72727273,70.70707071,78.78787879
5,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,49,12.24489796,26.53061224,32.65306122,20.40816327,46.93877551,48.97959184,48.97959184,51.02040816
6,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",39,20.51282051,53.84615385,51.28205128,56.41025641,69.23076923,71.79487179,74.35897436,71.79487179
7,Deverra tortuosa (Desf.) DC.,31,12.90322581,58.06451613,54.83870968,54.83870968,38.70967742,38.70967742,45.16129032,38.70967742
8,Deverra triradiata Hochst. ex Boiss.,15,20.00000000,26.66666667,26.66666667,26.66666667,33.33333333,26.66666667,26.66666667,26.66666667
9,Diplotaxis harra (Forssk.) Boiss.,152,44.73684211,86.18421053,84.21052632,86.18421053,84.21052632,82.89473684,81.57894737,83.55263158
10,Echinops glaberrimus DC.,24,41.66666667,37.50000000,66.66666667,54.16666667,79.16666667,79.16666667,79.16666667,83.33333333
11,Ephedra alata Decne.,16,31.25000000,50.00000000,56.25000000,50.00000000,25.00000000,12.50000000,12.50000000,12.50000000
12,Farsetia aegyptia Turra,120,32.50000000,75.00000000,79.16666667,74.16666667,73.33333333,72.50000000,72.50000000,68.33333333
13,Gymnocarpos decander Forssk.,169,53.25443787,88.16568047,88.75739645,86.98224852,82.24852071,78.69822485,79.88165680,80.47337278
14,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,74,16.21621622,25.67567568,35.13513514,31.08108108,37.83783784,39.18918919,39.18918919,41.89189189
15,Heliotropium arbainense Fresen.,77,63.63636364,74.02597403,76.62337662,76.62337662,66.23376623,67.53246753,68.83116883,64.93506494
16,Iphiona mucronata (Forssk.) Asch. & Schweinf.,10,0.00000000,30.00000000,40.00000000,40.00000000,30.00000000,30.00000000,30.00000000,30.00000000
17,Limonium pruinosum (L.) Chaz.,87,59.77011494,85.05747126,83.90804598,83.90804598,83.90804598,85.05747126,87.35632184,86.20689655
18,Lycium shawii Roem. & Schult.,196,65.81632653,65.81632653,69.89795918,67.85714286,54.08163265,48.46938776,61.73469388,59.18367347
19,Nitraria retusa (Forssk.) Asch.,129,27.90697674,71.31782946,67.44186047,68.99224806,59.68992248,67.44186047,65.89147287,55.81395349
20,Ochradenus baccatus Delile,434,82.02764977,86.40552995,86.63594470,84.10138249,75.34562212,71.19815668,74.42396313,78.11059908
21,Peganum harmala L.,86,2.32558140,74.41860465,74.41860465,77.90697674,75.58139535,70.93023256,74.41860465,70.93023256
22,Rumex vesicarius L.,106,31.13207547,86.79245283,81.13207547,80.18867925,70.75471698,77.35849057,77.35849057,76.41509434
23,Caroxylon imbricatum (Forssk.) Moq.,230,13.91304348,45.21739130,50.00000000,55.21739130,53.91304348,58.26086957,55.65217391,56.95652174
24,Stachys aegyptiaca Pers.,72,40.27777778,59.72222222,62.50000000,65.27777778,56.94444444,52.77777778,58.33333333,58.33333333
25,Suaeda aegyptiaca (Hasselq.) Zohary,83,9.63855422,36.14457831,39.75903614,46.98795181,27.71084337,27.71084337,30.12048193,28.91566265
26,Tamarix nilotica (Ehrenb.) Bunge,144,82.63888889,79.16666667,78.47222222,75.00000000,72.91666667,70.83333333,69.44444444,68.05555556
27,Trichodesma africanum (L.) Sm.,126,32.53968254,80.95238095,78.57142857,80.15873016,83.33333333,80.95238095,79.36507937,81.74603175
28,Zilla spinosa (L.) Prantl,321,49.84423676,78.50467290,75.70093458,78.81619938,69.15887850,71.02803738,69.15887850,73.20872274
29,Zygophyllum arabicum (L.) Christenh. & Byng,49,34.69387755,71.42857143,71.42857143,73.46938776,59.18367347,55.10204082,57.14285714,51.02040816
30,Zygophyllum coccineum L.,26,38.46153846,69.23076923,69.23076923,73.07692308,34.61538462,42.30769231,53.84615385,50.00000000
31,Zygophyllum molle (Delile) Christenh. & Byng,7,0.00000000,0.00000000,14.28571429,14.28571429,71.42857143,71.42857143,71.42857143,71.42857143
