Class index,Accepted scientific name,Support (n),Baseline 127 — Recall (%),Top 30 % (Epoch 215) — Recall (%),Top 30 % (Epoch 220) — Recall (%),Bottom 30 % (Epoch 216) — Recall (%)
0,Anabasis articulata (Forssk.) Moq.,76,97.36842105,100.00000000,100.00000000,100.00000000
1,Anabasis setifera Moq.,198,79.79797980,84.34343434,80.30303030,78.28282828
2,Atriplex halimus L.,281,89.67971530,83.62989324,88.61209964,90.74733096
3,Calotropis procera (Aiton) W.T.Aiton,81,96.29629630,95.06172840,95.06172840,93.82716049
4,Capparis spinosa L.,142,84.50704225,89.43661972,90.84507042,83.80281690
5,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,120,89.16666667,90.83333333,84.16666667,89.16666667
6,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",87,93.10344828,86.20689655,95.40229885,95.40229885
7,Deverra tortuosa (Desf.) DC.,39,100.00000000,100.00000000,100.00000000,100.00000000
8,Deverra triradiata Hochst. ex Boiss.,38,97.36842105,100.00000000,100.00000000,100.00000000
9,Diplotaxis harra (Forssk.) Boiss.,136,82.35294118,91.17647059,91.17647059,86.76470588
10,Echinops glaberrimus DC.,204,99.50980392,96.56862745,98.03921569,97.54901961
11,Ephedra alata Decne.,204,90.68627451,87.25490196,87.25490196,86.27450980
12,Farsetia aegyptia Turra,185,60.54054054,77.83783784,78.37837838,75.67567568
13,Gymnocarpos decander Forssk.,129,91.47286822,96.89922481,96.89922481,92.24806202
14,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,170,89.41176471,92.94117647,93.52941176,92.35294118
15,Heliotropium arbainense Fresen.,206,87.37864078,92.23300971,91.26213592,90.77669903
16,Iphiona mucronata (Forssk.) Asch. & Schweinf.,29,100.00000000,100.00000000,100.00000000,100.00000000
17,Limonium pruinosum (L.) Chaz.,89,73.03370787,84.26966292,87.64044944,76.40449438
18,Lycium shawii Roem. & Schult.,280,65.00000000,71.78571429,72.14285714,74.28571429
19,Nitraria retusa (Forssk.) Asch.,314,83.43949045,84.71337580,84.07643312,82.80254777
20,Ochradenus baccatus Delile,498,95.58232932,98.59437751,97.38955823,97.99196787
21,Peganum harmala L.,22,100.00000000,100.00000000,100.00000000,100.00000000
22,Rumex vesicarius L.,85,100.00000000,100.00000000,100.00000000,100.00000000
23,Caroxylon imbricatum (Forssk.) Moq.,105,99.04761905,100.00000000,100.00000000,100.00000000
24,Stachys aegyptiaca Pers.,100,100.00000000,100.00000000,100.00000000,100.00000000
25,Suaeda aegyptiaca (Hasselq.) Zohary,110,100.00000000,99.09090909,100.00000000,97.27272727
26,Tamarix nilotica (Ehrenb.) Bunge,320,67.50000000,66.87500000,63.43750000,66.25000000
27,Trichodesma africanum (L.) Sm.,167,52.09580838,75.44910180,61.07784431,77.84431138
28,Zilla spinosa (L.) Prantl,116,98.27586207,98.27586207,99.13793103,98.27586207
29,Zygophyllum arabicum (L.) Christenh. & Byng,261,96.16858238,98.08429119,98.46743295,98.46743295
30,Zygophyllum coccineum L.,194,90.72164948,92.26804124,92.26804124,92.78350515
31,Zygophyllum molle (Delile) Christenh. & Byng,114,98.24561404,100.00000000,100.00000000,100.00000000
