class_index,model_class_name,reporting_name,web_total,correctly_classified_n,correctly_classified_pct_of_species_web,top_30_n,top_30_pct_of_species_web,middle_30_70_n,middle_30_70_pct_of_species_web,lowest_30_n,lowest_30_pct_of_species_web,never_correctly_classified_n,never_correctly_classified_pct_of_species_web
0,Anabasis articulata (Forssk.) Moq.,Anabasis articulata (Forssk.) Moq.,314,56,17.8343949044586,77,24.522292993630572,104,33.12101910828025,77,24.522292993630572,258,82.16560509554141
1,Anabasis setifera Moq.,Anabasis setifera Moq.,149,57,38.25503355704698,28,18.79194630872483,36,24.161073825503358,28,18.79194630872483,92,61.74496644295302
2,Atriplex halimus L.,Atriplex halimus L.,100,56,56.00000000000001,13,13.0,18,18.0,13,13.0,44,44.0
3,Calotropis procera (Aiton) W.T.Aiton,Calotropis procera (Aiton) W.T.Aiton,210,52,24.761904761904763,47,22.380952380952383,64,30.476190476190478,47,22.380952380952383,158,75.23809523809524
4,Capparis spinosa L.,Capparis spinosa L.,169,53,31.360946745562128,35,20.710059171597635,46,27.218934911242602,35,20.710059171597635,116,68.63905325443787
5,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,112,6,5.357142857142857,32,28.57142857142857,43,38.392857142857146,31,27.67857142857143,106,94.64285714285714
6,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler","Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",85,9,10.588235294117647,23,27.058823529411764,30,35.294117647058826,23,27.058823529411764,76,89.41176470588236
7,Deverra tortuosa (Desf.) DC.,Deverra tortuosa (Desf.) DC.,65,8,12.307692307692308,17,26.153846153846157,23,35.38461538461539,17,26.153846153846157,57,87.6923076923077
8,Deverra triradiata Hochst. ex Boiss.,Deverra triradiata Hochst. ex Boiss.,30,5,16.666666666666664,7,23.333333333333332,10,33.33333333333333,8,26.666666666666668,25,83.33333333333334
9,Diplotaxis harra (Forssk.) Boiss.,Diplotaxis harra (Forssk.) Boiss.,262,80,30.53435114503817,55,20.99236641221374,72,27.480916030534353,55,20.99236641221374,182,69.46564885496184
10,Echinops glaberrimus DC.,Echinops glaberrimus DC.,46,10,21.73913043478261,11,23.91304347826087,14,30.434782608695656,11,23.91304347826087,36,78.26086956521739
11,Ephedra alata Decne.,Ephedra alata Decne.,28,8,28.57142857142857,6,21.428571428571427,8,28.57142857142857,6,21.428571428571427,20,71.42857142857143
12,Farsetia aegyptia Turra,Farsetia aegyptia Turra,226,48,21.238938053097346,53,23.451327433628318,72,31.858407079646017,53,23.451327433628318,178,78.76106194690266
13,Gymnocarpos decander Forssk.,Gymnocarpos decander Forssk.,275,99,36.0,53,19.272727272727273,70,25.454545454545453,53,19.272727272727273,176,64.0
14,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,162,16,9.876543209876543,44,27.160493827160494,58,35.80246913580247,44,27.160493827160494,146,90.12345679012346
15,Heliotropium arbainense Fresen.,Heliotropium arbainense Fresen.,109,56,51.37614678899083,16,14.678899082568808,21,19.26605504587156,16,14.678899082568808,53,48.62385321100918
16,Iphiona mucronata (Forssk.) Asch. & Schweinf.,Iphiona mucronata (Forssk.) Asch. & Schweinf.,24,0,0.0,7,29.166666666666668,10,41.66666666666667,7,29.166666666666668,24,100.0
17,Limonium pruinosum (L.) Chaz.,Limonium pruinosum (L.) Chaz.,123,63,51.21951219512195,18,14.634146341463413,24,19.51219512195122,18,14.634146341463413,60,48.78048780487805
18,Lycium shawii Roem. & Schult.,Lycium shawii Roem. & Schult.,250,160,64.0,27,10.8,36,14.399999999999999,27,10.8,90,36.0
19,Nitraria retusa (Forssk.) Asch.,Nitraria retusa (Forssk.) Asch.,245,52,21.224489795918366,58,23.6734693877551,77,31.428571428571427,58,23.6734693877551,193,78.77551020408163
20,Ochradenus baccatus Delile,Ochradenus baccatus Delile,509,384,75.44204322200393,37,7.269155206286837,50,9.823182711198427,38,7.465618860510806,125,24.557956777996072
21,Peganum harmala L.,Peganum harmala L.,208,4,1.9230769230769231,61,29.326923076923077,82,39.42307692307692,61,29.326923076923077,204,98.07692307692307
22,Rumex vesicarius L.,Rumex vesicarius L.,206,40,19.41747572815534,50,24.271844660194176,66,32.038834951456316,50,24.271844660194176,166,80.58252427184466
23,Salsola imbricata Forssk.,Caroxylon imbricatum (Forssk.) Moq.,498,50,10.040160642570282,134,26.907630522088354,180,36.144578313253014,134,26.907630522088354,448,89.95983935742971
24,Stachys aegyptiaca Pers.,Stachys aegyptiaca Pers.,134,31,23.134328358208954,31,23.134328358208954,41,30.597014925373134,31,23.134328358208954,103,76.86567164179104
25,Suaeda aegyptiaca (Hasselq.) Zohary,Suaeda aegyptiaca (Hasselq.) Zohary,188,13,6.914893617021277,52,27.659574468085108,70,37.234042553191486,53,28.191489361702125,175,93.08510638297872
26,Tamarix nilotica (Ehrenb.) Bunge,Tamarix nilotica (Ehrenb.) Bunge,172,125,72.67441860465115,14,8.13953488372093,19,11.046511627906977,14,8.13953488372093,47,27.325581395348834
