species,is_target_species,train_images,validation_images,total_images,train_percentage,validation_percentage,validation_deviation_from_20_percent,n_collection_dates,all_collection_dates,n_train_dates,train_dates,n_validation_dates,validation_dates,date_overlap,n_overlapping_dates,overlapping_dates,n_sites,all_sites,n_train_sites,train_sites,n_validation_sites,validation_sites,site_overlap_any_date,n_overlapping_sites_any_date,overlapping_sites_any_date,shared_date_site_details,n_known_site_overlaps_on_shared_dates,known_site_overlaps_on_shared_dates,missing_site_metadata_on_shared_dates,split_method,split_group,split_reason,validation_selection_rule,random_seed
Anabasis articulata (Forssk.) Moq.,True,299,76,375,79.73333333333333,20.266666666666666,0.2666666666666657,4,"22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025",4,"22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025",4,"22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025",True,4,"22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025",1,K7,1,K7,1,K7,True,1,K7,22-11-2024: Train[NA] | Validation[NA] | Shared[None] ; 23-12-2024: Train[NA] | Validation[NA] | Shared[None] ; 04-01-2025: Train[K7] | Validation[K7] | Shared[K7] ; 31-01-2025: Train[NA] | Validation[NA] | Shared[None],1,04-01-2025:K7,251,image_level_random,limited_collection_dates_random,"Multiple collection dates were available, but temporal coverage was insufficient for a practical purely date-separated partition; image-level random splitting was therefore used.",Image-level random partitioning was used because collection-date coverage was insufficient for the date-separated strategy.,42.0
Anabasis setifera Moq.,True,865,198,1063,81.37347130761995,18.626528692380056,1.373471307619944,7,"22-12-2023, 20-01-2024, 08-03-2024, 22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025",5,"20-01-2024, 08-03-2024, 22-11-2024, 04-01-2025, 31-01-2025",2,"22-12-2023, 23-12-2024",False,0,,3,"K7, K8, K12",3,"K7, K8, K12",0,,False,0,,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Atriplex halimus L.,True,957,281,1238,77.3021001615509,22.69789983844911,2.6978998384491106,7,"22-12-2023, 20-01-2024, 08-03-2024, 22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025",6,"22-12-2023, 08-03-2024, 22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025",1,20-01-2024,False,0,,4,"K7, K8, K10, K11",2,"K8, K11",2,"K7, K10",False,0,,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Calotropis procera (Aiton) W.T.Aiton,True,266,81,347,76.657060518732,23.34293948126801,3.3429394812680115,3,"20-01-2024, 04-01-2025, 21-02-2025",2,"20-01-2024, 21-02-2025",1,04-01-2025,False,0,,1,K6,1,K6,0,,False,0,,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Capparis spinosa L.,True,515,142,657,78.38660578386606,21.61339421613394,1.6133942161339405,6,"22-12-2023, 22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025, 21-02-2025",5,"22-12-2023, 22-11-2024, 23-12-2024, 31-01-2025, 21-02-2025",1,04-01-2025,False,0,,2,"K6, K12",2,"K6, K12",1,K12,True,1,K12,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,True,368,120,488,75.40983606557377,24.59016393442623,4.590163934426229,6,"22-12-2023, 20-01-2024, 08-03-2024, 22-11-2024, 04-01-2025, 31-01-2025",4,"22-12-2023, 20-01-2024, 08-03-2024, 22-11-2024",2,"04-01-2025, 31-01-2025",False,0,,1,K7,1,K7,1,K7,True,1,K7,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",True,205,87,292,70.2054794520548,29.794520547945208,9.794520547945208,3,"20-01-2024, 20-04-2024, 31-01-2025",2,"20-01-2024, 31-01-2025",1,20-04-2024,False,0,,1,K9,1,K9,1,K9,True,1,K9,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Deverra tortuosa (Desf.) DC.,True,156,39,195,80.0,20.0,0.0,2,"23-12-2024, 21-02-2025",2,"23-12-2024, 21-02-2025",2,"23-12-2024, 21-02-2025",True,2,"23-12-2024, 21-02-2025",1,K3,1,K3,1,K3,True,1,K3,23-12-2024: Train[NA] | Validation[NA] | Shared[None] ; 21-02-2025: Train[K3] | Validation[K3] | Shared[K3],1,21-02-2025:K3,160,image_level_random,limited_collection_dates_random,"Multiple collection dates were available, but temporal coverage was insufficient for a practical purely date-separated partition; image-level random splitting was therefore used.",Image-level random partitioning was used because collection-date coverage was insufficient for the date-separated strategy.,42.0
Deverra triradiata Hochst. ex Boiss.,True,148,38,186,79.56989247311827,20.43010752688172,0.43010752688172005,3,"22-12-2023, 08-03-2024, 21-02-2025",3,"22-12-2023, 08-03-2024, 21-02-2025",3,"22-12-2023, 08-03-2024, 21-02-2025",True,3,"22-12-2023, 08-03-2024, 21-02-2025",0,,0,,0,,False,0,,22-12-2023: Train[NA] | Validation[NA] | Shared[None] ; 08-03-2024: Train[NA] | Validation[NA] | Shared[None] ; 21-02-2025: Train[NA] | Validation[NA] | Shared[None],0,,186,image_level_random,limited_collection_dates_random,"Multiple collection dates were available, but temporal coverage was insufficient for a practical purely date-separated partition; image-level random splitting was therefore used.",Image-level random partitioning was used because collection-date coverage was insufficient for the date-separated strategy.,42.0
Diplotaxis harra (Forssk.) Boiss.,True,415,136,551,75.31760435571688,24.682395644283122,4.6823956442831225,4,"08-03-2024, 22-11-2024, 04-01-2025, 31-01-2025",3,"08-03-2024, 22-11-2024, 04-01-2025",1,31-01-2025,False,0,,1,K8,1,K8,0,,False,0,,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Echinops glaberrimus DC.,True,734,204,938,78.25159914712152,21.748400852878465,1.748400852878465,6,"20-01-2024, 08-03-2024, 23-12-2024, 04-01-2025, 31-01-2025, 21-02-2025",5,"20-01-2024, 08-03-2024, 23-12-2024, 31-01-2025, 21-02-2025",1,04-01-2025,False,0,,2,"K5, K11",2,"K5, K11",0,,False,0,,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
